Name,Auto number,Program check,Program name,Type of Opportunity,Annual scholarship?,Study level,Host Country,Discipline,Value,Note,Link,Deadline?,Date updated,Checked?
,357,,,,,,,,,,,,,
,1439,,,,,,Norway,,,,,,,
Aarhus BS,1231,,Aarhus BS,University-sponsor Scholarship,checked,Master,Denmark,Business and finance,"less than 50% tuition fee ,100% tuition fee",,http://bss.au.dk/en/programmes/master/,October,20/9/2017,
Amandus H. Lundqvist Scholarship Program,580,,Amandus H. Lundqvist Scholarship Program,University-sponsor Scholarship,checked,Master,Netherland,A LOT OF DISCIPLINES,Full scholarship,Continuation of the scholarship during the two years of the Master's program depends on the academic achievements of the student. The student’s academic results will be assessed in the spring following the start of the program.,https://www.tue.nl/en/studeren/studying-at-tue/study-costs-scholarships-and-grants/scholarships-and-grants/amandus-h-lundqvist-scholarship-program/,Febuary,19/8/2017,
Art Major Asian(AMA) Scholarship,314,,Art Major Asian(AMA) Scholarship,University-sponsor Scholarship,checked,"Undergraduate ,Master ",South Korea,"""Arts, Design and Photography""",Full scholarship,Ứng viên cần có tài năng về nghệ thuật vượt trội,http://karts.ac.kr:8090/?MID=htmlContent&IDX=375,June,18/8/2017,
ASEAN International Mobility for Students (AIMS) programme,1232,,ASEAN International Mobility for Students (AIMS) programme,Exchange scholarship,checked,Undergraduate,South Korea,A LOT OF DISCIPLINES,Nearly full scholarship (withour air tickets or accommodation),"- Tùy trường bạn apply mới có học bổng này
- Phải viết luận nhưng không phỏng vấn",http://rihed.seameo.org/programmes/aims/,January,20/9/2017,
Carleton University Entrance Awards for International Students,1240,,Carleton University Entrance Awards for International Students,University-sponsor Scholarship,checked,Undergraduate,Canada,A LOT OF DISCIPLINES,50% tuition fee,Giá trị từ 4000 CAD đến 16000 CAD. Sinh viên phải được nhận vào trường với kết quả đạt trên 80% tiêu chuẩn đầu vào cũng như đảm bảo được yêu cầu về ngoại ngữ.,https://carleton.ca/awards/scholarships/entrance-scholarships-for-new-students/scholarships/,October,20/9/2017,
Endeavour Postgraduate Scholarship,502,,Endeavour Postgraduate Scholarship,Government Scholarship,checked,"Post-graduate ,PhD ",Australia,A LOT OF DISCIPLINES,Full scholarship,Tuition fee tối đa là 15000 USD/học kỳ. Khoá học mà người apply chọn có tuition fee một kỳ vượt quá mức nêu trên thì người apply sẽ phải cam kết tự chi trả phần tuition fee vượt quá đó/hoặc lựa chọn một khoá học khác có tuition fee nằm trong hạn mức của học bổng.,https://internationaleducation.gov.au/endeavour%20program/scholarships-and-fellowships/international-applicants/pages/international-applicants.aspx,June,19/8/2017,
Forté Fellowships,1368,,Forté Fellowships,Fellowship Scholarship,checked,Master,United State,Business and finance,"100% tuition fee,50% tuition fee ","Candidates should exhibit exemplary leadership in one or more ways: academic leadership, team leadership, community leadership, and creative leadership.
Candidates should demonstrate a commitment to women and girls via personal mentorship or community involvement. Such commitment is in alignment with the mission of Forté Foundation.
Schools are encouraged to nominate fellows from their schools who represent diverse educational and work backgrounds, career goals, ethnicities and citizenship.",http://www.fortefoundation.org/site/PageServer?pagename=premba_fellows#.WeTih4-CzZ4,January,17/10/2017,
Học Bổng Tiến Sĩ Và Sau Tiến Sĩ Tại Đại Học Texas 2018-2019,527,,Học Bổng Tiến Sĩ Và Sau Tiến Sĩ Tại Đại Học Texas 2018-2019,University-sponsor Scholarship,,PhD,United State,A LOT OF DISCIPLINES,50% tuition fee,Học bổng còn dành cho cả bậc sau Tiến Sĩ,http://www.hrc.utexas.edu/research/fellowships/application/,Change every year,19/8/2017,
Học Bổng Toàn Phần Tiến Sĩ Dành Cho Sinh Viên Quốc Tế Tại Chosun University,1321,,Học Bổng Toàn Phần Tiến Sĩ Dành Cho Sinh Viên Quốc Tế Tại Chosun University,University-sponsor Scholarship,checked,PhD,South Korea,Computer science and IT,100% tuition fee,,http://asic.chosun.ac.kr,November,30/9/2017,
Hong Kong PhD Fellowship,1063,Hong Kong PhD Fellowship Scheme for International Students,Hong Kong PhD Fellowship,Fellowship Scholarship,,PhD,Hong Kong,A LOT OF DISCIPLINES,Full scholarship,"Đây là học bổng PhD tại 8 trường đại học hàng đầu Hong Kong, tùy thuộc vào từng trường mà số tiền tài trợ khác nhau. Nhìn chung, người đạt học bổng sẽ được cấp chi phí nghiên cứu, sinh hoạt, tham gia hội nghị khoa học và tiền thưởng nếu đạt thành tích tốt.",https://l.facebook.com/l.php?u=https%3A%2F%2Fcerg1.ugc.edu.hk%2Fhkpfs%2Fapply.html&h=ATPv3dzyqcA_AxTj_UgvBdEX9q5yG_O9GvKc6eCDvD0Cnf5gf1puzlmEsdmdrPs0ttY9Xknyx9OgT7K4YYuQCKZu9bm5n5M-nEKzlYVNz-6Kup1ny4YGNGNDEL6EB-yWSznxb97l1nG-_li9cC1Phd83LUNXz89pYoT7TOjQZoVel096YThX8sJl-3Xv59HDTXGtFT7ViXisImEaBJxBpz6ugPZMh4TBzKF1BsaWyxUHR2uWG0h-qqaxnqA8RBev7f2sRaTFBiZtEeKaD8mRlQ,December,5/9/2017,
HVIET summer camp for high school students,618,,HVIET summer camp for high school students,Conference Scholarship,checked,High school,Vietnam,A LOT OF DISCIPLINES,"50% tuition fee ,100% tuition fee,less than 50% tuition fee ","Học bổng này dành cho các bạn học sinh cấp 3. Tuy nhiên những bạn học năm 1,2 đại học muốn tham gia cũng được.
Học bổng maximum là 10 triệu cho 10 ngày traị hè.
Các bạn nên cố gắng viết bài luận tốt và có một vài thành tích cá nhân thì sẽ có khả năng nhận được học bổng toàn phần.",http://www.hviet.com/,April,20/8/2017,
Institute of Design and Architecture Scholarships,330,,Institute of Design and Architecture Scholarships,University-sponsor Scholarship,checked,"Post-graduate ,Master ",Italy,"""Arts, Design and Photography""",50% tuition fee,,http://isad-school.com/scholarships,September,18/8/2017,
Kawaguchi Shizu Memorial Scholarship (The Asian Foundation for International Scholarship Interchange),957,,Kawaguchi Shizu Memorial Scholarship (The Asian Foundation for International Scholarship Interchange),Company-sponsor Scholarship,checked,"Undergraduate ,Master ,PhD ",Japan,A LOT OF DISCIPLINES,Cash award,"*REQUIREMENT
 1)	Privately financed international students from Asian countries who are studying at, or allowed to be enrolled in a graduate school in Japan as a regular student with college visa status.
(2)	Those who are 34 years old or younger at the time of application.
(3)	Those who have good academic performance, and need a financial assistance.
(4)	Those who do not receive other scholarships.
(5)	Those who have Japanese language proficiency certificate TOPJ with advanced C level (JLPT with a similar level also accepted).

*SCHOLARSHIP
Undergraduates and master's students, 60,000 for a month. Doctoral students, 70,000 yen for a month",http://www.asian-foundation.org/scholarship/japanese.php,"January,December",5/9/2017,
" Ludwig-Maximilian University of Munich Doctoral Scholarships for International Students in Germany, 2017",1385,," Ludwig-Maximilian University of Munich Doctoral Scholarships for International Students in Germany, 2017",University-sponsor Scholarship,checked,PhD,Germany,A LOT OF DISCIPLINES,Cash award,,http://www.en.uni-muenchen.de/about_lmu/contact/int_office/services/services_incomings/support_for_all_incomings/scholarships/scholarships_for_incomings/lmu_scholarship/index.html,June,28/11/2017,
Master’s Degree Program JFY 2018,877,,Master’s Degree Program JFY 2018,Government Scholarship,checked,Master,Japan,A LOT OF DISCIPLINES,Full scholarship,"Để nộp đơn xin học bổng cần đạt ít nhất 1 trong các yêu cầu sau: xếp hạng tốt nghiệp hoặc điểm trong năm gần nhất nằm trong top 15% của lớp; có điểm GPA ít nhất 3.0 trên 4 hoặc 7.5 trên 10; hoặc có thành tích nghiên cứu, học tập nổi trội ( kèm theo chứng nhận)",http://www.seed-net.org/application-forms/,October,28/8/2017,checked
My Travel Luggage Advance Scholarship Program,1398,,My Travel Luggage Advance Scholarship Program,Company-sponsor Scholarship,,"Undergraduate ,Post-graduate ",United State,"""Hospitality, Tourism and Sports""",Cash award,"Under this scholarship, applicants need to write 1000-1500 words on the provided topics, and the best one will be the awarded with 500$. By participating in this scholarship, you need to prove your strong writing ability.
Deadline: 10 Oct 2018
Award announce: 1 Jan 2019",http://www.my-travel-luggage.com/scholarship/,October,9/12/2017,
" Politecnico di Milano Merit-based Scholarship, Italy",1412,," Politecnico di Milano Merit-based Scholarship, Italy",University-sponsor Scholarship,checked,Master,Italy,A LOT OF DISCIPLINES,"100% tuition fee,Nearly full scholarship (withour air tickets or accommodation)","Có 3 cấp học bổng:
Platinum: Miễn học phí + EUR 10.000 sinh hoạt phí trong 1 năm. 
Gold: Miễn học phí + EUR 5000 sinh hoạt phí trong 1 năm
Silver: Miễn học phí
Các học bổng đều được duy trì cho năm tiếp theo nếu đáp ứng được thành tích học tập.",http://www.polinternational.polimi.it/how-to-apply/laurea-magistrale/scholarships/,"March,November",9/12/2017,
" tAntenna Systems and Applications Laboratory at EE department in Hongik University, Seoul, Korea",870,," tAntenna Systems and Applications Laboratory at EE department in Hongik University, Seoul, Korea",University-sponsor Scholarship,,"PhD ,Master ",South Korea,Engineer and Technology,100% tuition fee,,http://grad.hongik.ac.kr/subpage/foreigner.php?id=3,October,26/8/2017,checked
the Holland Scholarship programme,1065,,the Holland Scholarship programme,University-sponsor Scholarship,checked,Undergraduate,Netherland,"Business and finance,A LOT OF DISCIPLINES ",less than 50% tuition fee,"IELTS 6.0 trở lên
Chỉ trợ cấp cho năm đầu tiên",https://stenden.com/en/practical-information/scholarships/,January,5/9/2017,
